id,ime,letnica_rojstva,drzava_rojstva,stevilo_iger_v_bazi,zacetek,konec,zmage,porazi,remiji,delez_zmag,kvaliteta
68357,F Bindrich,1990,Germany,469,1999,2019,126,76,158,56.9,2605
50072,I Charkhalashvili,1983,Georgia,140,1996,2019,39,21,35,59.5,2276
125771,A Abdellah,,,1,1999,1999,,,,,2220
125772,Aude Soubrier,1983,France,1,1999,1999,,,,,1944
12251,L Kernazhitsky,1947,Ukraine,46,1967,2014,15,17,14,47.8,2243
66341,Elmar Karst,1978,Germany,1,1999,1999,,,,,2307
66342,T Palma,1965,Germany,2,1990,1999,,,,,2188
49619,Khurtsidze,,,451,1992,2017,164,94,154,58.5,2400
105422,G Pinsky,,,1,1999,1999,,,,,
49444,M Mrva,1971,Slovakia,171,1988,2010,45,71,40,41.7,2386
66822,L Betko,1978,Slovakia,15,1992,2001,5,5,5,50.0,2217
74939,S Havran,1946,Slovakia,4,1999,2000,1,1,2,50.0,1638
71883,M Bobak,1983,Slovakia,6,1999,2001,2,3,1,41.7,1958
35900,O Salmensuu,1978,Finland,135,1989,2004,44,54,37,46.3,2395
10764,C Horvath,1968,Hungary,317,1979,2017,89,52,176,55.8,2518
49330,R Muth,1968,Germany,3,1999,2006,,,,,2067
19665,G Fahnenschmidt,1940,Germany,71,1955,2001,16,31,24,39.4,1954
74877,T Gjedde,1979,Denmark,1,1999,1999,,,,,2054
74878,P Kristensen,,,3,1992,1999,,,,,
105417,G Martin,,,1,1999,1999,,,,,
18231,Berezjuk,1960,Belarus,82,1990,2016,31,21,30,56.1,2407
51451,V Dobrov,1984,Russia,225,1999,2019,64,48,35,55.4,2478
45269,B Arkhangelsky,1931,Russia,69,1979,2008,22,20,26,51.5,2237
12328,V N Kozlov,1950,Russia,72,1967,2011,19,30,23,42.4,2033
50148,V L Ivanov,1969,Russia,69,1990,2008,24,20,25,52.9,2482
97662,D Majer,1974,Germany,3,1999,2005,,,,,2268
97659,R D`Arruda,1959,Argentina,26,1986,2005,10,7,9,55.8,2271
89210,D Trujillo Delgado,1983,Spain,165,1997,2008,55,80,30,42.4,2175
99992,Y Jordan Tanco,,,1,1999,1999,,,,,
108735,P Vesely,1948,Slovakia,32,1999,2011,13,4,15,64.1,
97623,J Mrkvicka,,,6,1999,2003,1,2,3,41.7,
50856,G Lorscheid,1961,Germany,168,1984,2019,35,87,46,34.5,2241
41880,A Czebe,1975,Hungary,208,1992,2017,66,50,85,54.0,2367
123317,Claire Line Redon,,,1,1999,1999,,,,,
51338,N Coursaget,1977,France,17,1999,2006,3,5,9,44.1,2192
14093,O Cvitan,1961,Yugoslavia,715,1981,2019,200,119,348,56.1,2467
103020,T Ross,,,1,1999,1999,,,,,
103018,P Burgermeister,1969,Switzerland,2,1999,2000,,,,,
14216,Bologan,1971,Moldova,"1,776",1989,2020,516,323,519,57.1,2574
70919,J Fiedler,1965,Germany,2,1999,2001,,,,,2082
47065,A Greenfeld,1964,United States of America,585,1979,2019,222,126,210,58.6,2500
30948,M Schnabel,1949,Germany,13,1985,2008,6,6,1,50.0,2146
36840,J Kalbhenn,1936,Germany,1,1999,1999,,,,,
102969,T Stahnke,1972,Germany,1,1999,1999,,,,,1971
67581,A Shchekachev,1972,Russia,378,1988,2019,129,75,122,58.3,2533
34765,Kleinschroth,1966,Germany,20,1990,2001,6,8,6,45.0,2085
36843,Uwe Pichl,1969,Germany,1,1999,1999,,,,,1718
25648,J Borges Mateos,1966,Cuba,109,1985,2012,34,28,47,52.8,2421
102946,F Gomes,,,1,1999,1999,,,,,
27789,G Wall,1968,Ireland,106,1993,2017,32,42,31,45.2,2326
