indeks_igre,prvi_igralec,prvi_id,drugi_igralec,drugi_id,izid,stevilo_potez,leto,kraj,odprtje_neka_stevilka,odprtje
1931483,Roysha Mougal,161471,Maria Granados,150844,0-1,14,2018,Chess Olympiad (Women)</a>,D02,Queen's Pawn Game
1931805,Serray Jallow,161460,Marie Lucie Zephir,161437,1-0,5,2018,Chess Olympiad (Women)</a>,B06,Robatsch
1929802,M Perez Candelario,49099,A Rizouk,22025,1-0,15,2018,Chess Olympiad</a>,B01,Scandinavian
1932091,Hula Jallow,161459,Abigaele Christiana Poudjoua Gamba,161446,0-1,12,2018,Chess Olympiad (Women)</a>,A00,Uncommon Opening
1931877,B Tuzi,139004,K Szczepkowska-Horowska,54851,0-1,13,2018,Chess Olympiad (Women)</a>,C55,Two Knights Defense
1932216,Araya Prommuang,161387,M Kaydanovich,127481,1-0,9,2018,Chess Olympiad (Women)</a>,D43,Queen's Gambit Declined Semi-Slav
1930432,A Ahmad,128025,Mohamed Mohamed Lemine,161209,1-0,12,2018,Chess Olympiad</a>,C24,Bishop's Opening
1932340,Nita Saraci,161512,Nafissatou Gbadamassi,161489,1-0,12,2018,Chess Olympiad (Women)</a>,A45,Queen's Pawn Game
1932295,N Davidsdottir,129032,Lidet Abate,155502,1-0,13,2018,Chess Olympiad (Women)</a>,C45,Scotch Game
1930421,Al Hassane Wane,150828,E Righi,36302,0-1,13,2018,Chess Olympiad</a>,D35,Queen's Gambit Declined
1930363,David Isaac Miliam Escobar vs I Berezo,161183,ky,35128,0-1,15,2018,Chess Olympiad</a>,B25,"Sicilian, Closed"
1932302,Kudzanayi Charinda,155584,Sbai Rania,155411,0-1,15,2018,Chess Olympiad (Women)</a>,A11,"English, Caro-Kann Defensive System"
1932881,J Figueroa,127414,L B Hamoonga,127699,1-0,15,2018,Chess Olympiad (Women)</a>,B40,Sicilian
1933137,Jesse Nikki February,155415,P Mutesi,127569,1-0,14,2018,Chess Olympiad (Women)</a>,C00,French Defense
1933210,Elfete Vitia,161423,Siri Carole Danwe Mais,161441,1-0,15,2018,Chess Olympiad (Women)</a>,A07,King's Indian Attack
1933662,A Indjic,132397,O Heinzel,56984,1-0,10,2018,European Club Cup</a>,A06,Reti Opening
1934063,A van Beek,70273,Herve Lalouette,161537,1-0,13,2018,European Club Cup</a>,B51,"Sicilian, Canal-Sokolsky (Rossolimo) Attack"
1934129,G Runarsson,147932,William Kenny,161545,1-0,13,2018,European Club Cup</a>,D00,Queen's Pawn Game
1934413,A Sotsky,128401,Driton Hajra,159212,1-0,14,2018,European Club Cup</a>,A45,Queen's Pawn Game
1934395,D Cramling,15510,L Dek,112026,0-1,11,2018,European Club Cup</a>,D10,Queen's Gambit Declined Slav
1934658,Gerardo Artola Pola,161543,J Arnott,113866,0-1,15,2018,European Club Cup</a>,C10,French
1937144,D Eggleston,96349,T Bopp,55158,1-0,14,2018,Isle of Man Masters</a>,B10,Caro-Kann
1979196,M Perunovic,49477,Y Prokopchuk,109117,1-0,15,2018,Chigorin Memorial</a>,B01,Scandinavian
1979326,S Khanin,141447,Alexis Tahay,155091,1-0,14,2018,Chigorin Memorial</a>,B90,"Sicilian, Najdorf"
1947572,F Rhine,108115,NN,12883,1-0,14,2018,Internet blitz,B21,"Sicilian, 2.f4 and 2.d4"
1941438,Fahad A Al Turky,155576,Ahmed M Al Thebaiti,161291,1-0,11,2018,World Blitz Championship</a>,B01,Scandinavian
